[train]
7JYX_3 1O65_1 6KYF_1 5HKO_1 5L8V_1 3TZT_1 4OZ7_1 5YIP_2 4ES7_1 1TA9_1 
3CL3_2 3M5K_1 2G1L_1 4ZEM_1 1QLS_2 4BXS_2 6Z00_1 6OIU_1 4AR9_1 1GAJ_1 
2J8A_1 2QW5_1 5XJG_1 1VM6_1 5V8D_2 6LFD_1 2DLS_1 4TK2_2 1Y7E_1 7EID_2 
3M7P_1 2R5F_1 5JJX_1 1IAB_1 3G2T_2 6F1S_1 6MFV_1 7EXK_1 6U08_2 5FQ7_2 
3DR5_1 2ICG_1 2P5T_2 5JFY_1 5E10_1 6TDU_19 3CTY_1 3Q2W_1 4G7Y_3 4CHK_1 
4YLE_1 1B35_2 5VOL_1 3DXL_1 4TNH_6 4NPX_1 5BS1_1 5UV6_1 3GA2_1 1LI5_1 
4V3I_1 4N74_1 1O1M_1 5TQ2_2 6UXC_1 1WRJ_1 7EQ4_1 7MNW_2 4XTK_1 6VW8_1 
7M1B_1 5JMV_2 3NWC_1 2WST_1 2VO9_1 4RZK_1 3GRZ_1 4QGN_1 5CUZ_1 6LBE_1 
6OYF_1 5WXK_2 1DVO_1 6IQE_1 3QSU_1 3H0N_1 3MT1_1 1P6X_1 5WUQ_1 6MHF_2 
3UOV_1 3C5J_3 5LHD_1 1SU2_1 2QW6_1 5K1R_1 2HSI_1 5WRU_1 3S63_1 5UE3_1 
3DWO_1 7M98_2 4N6C_1 3RWI_3 3PD7_1 4KSI_1 4UHP_2 4GEX_1 6H9S_1 3HLZ_1 
6H3X_1 4JLE_1 7M58_1 1OSV_2 3UM2_2 6MZU_2 3LLK_1 3AIH_1 3RMI_1 4PZJ_1 
3PY9_1 1EYZ_1 6QLC_1 1JVD_1 3OD7_1 6QAI_1 5V6L_3 5TK5_1 4RCW_1 2RHP_1 
6LB9_1 4WVP_1 5C6G_1 3QS7_1 3C5H_1 4AY7_1 1NI5_1 7UQW_1 3TWE_1 1LWU_3 
4OGE_1 1O5L_1 3A2Z_1 5JHQ_1 5GWR_1 2FI0_1 1NI3_1 5K5S_1 1V9P_1 3A1M_1 
6SJ9_1 5NXK_1 1O5H_1 6JDU_1 2O5N_1 2GD9_1 1M8B_1 6PEI_1 4CRU_1 6IPB_1 
5OD3_1 7WN3_2 4CSJ_2 1VFH_1 7L1T_1 3ASI_1 1PSW_1 6PQH_1 5F8V_1 6OMB_1 
3N4F_1 3TSC_1 5WDH_1 4UM9_4 3JCD_51 4XDC_1 4M00_1 1R52_1 6KIR_1 7DU4_2 
6WU1_1 6DLO_1 3UW6_1 3CFF_1 1D8L_1 1URU_1 3HE5_2 5N41_1 3Q8I_1 1JJV_1 
5N6U_1 4JDU_1 6XYR_1 4EN2_3 4NEF_1 6WFQ_1 3BGU_1 4YGU_1 5A53_2 1QO0_2 
5L8W_1 3TE0_1 5HK6_1 4F6O_1 5B73_1 4RGY_1 3FP7_2 3TRB_1 6FUE_1 1NY3_1 
1ZHV_1 4QVG_1 5GVI_1 3A7M_1 6TQ1_1 4J2N_1 7CFY_1 1EBF_1 6Y2C_1 6C48_1 
4PBO_1 5EW0_1 4JZJ_1 2ZIS_2 3N5M_1 1G1C_1 5IBW_2 3NKG_1 5XG5_1 6OTV_1 
3N4E_1 2RH7_1 6GMI_1 4IWN_1 4B60_2 5ZHX_1 4NZZ_1 1TIF_1 3BWN_1 3JU6_1 
5GYY_2 3HQX_1 2V8C_1 5T3U_1 7S3E_1 4RCA_2 2P88_1 5MIO_3 2I3T_2 5AWE_1 
4BBO_1 1CLI_1 4R21_1 5NR4_1 1T5W_3 4ONW_1 5JW7_2 7ACW_2 7XK5_2 6Q70_1 
4UEO_1 5MC9_2 3O8O_2 1XL3_2 2D4Y_1 4B7X_1 4J0X_1 7BFN_1 6RK3_1 4XE3_1 
3MXL_1 3HRD_1 6IHR_1 3WUU_1 4BX2_1 6FSP_1 5KT0_1 2Y78_1 6R8C_1 1VYT_2 
3NIV_1 3W6K_2 2YZI_1 5YL9_1 1NRF_1 5C52_2 2FJI_1 2Z00_1 7B2S_1 6CWY_2 
1X3X_1 5JZX_1 1RKT_1 4LNB_1 3LT3_1 4IIC_1 1CJL_1 4D7K_1 1GXM_1 3KB6_1 
1GHL_1 6E58_1 3P53_1 5LWL_1 3PGR_1 4AYU_1 4P2Q_3 5Z93_2 3QBM_1 4RGI_1 
7RG7_1 6DM4_1 6KIF_12 6BPN_1 4V0P_1 7EHP_1 1RGV_1 1LXM_1 7MPL_1 6MQU_1 
2P0L_1 4PJV_1 4O9U_1 3EB7_1 4E79_1 1PZ7_1 4JZ5_1 3CNY_1 7LMM_2 4FQX_3 
6L8I_1 1T9E_1 6UGH_1 3FET_1 5Y27_2 6V59_1 4QED_1 6FEY_2 5YDF_1 2Q78_1 
3OF5_1 3FFL_1 6FH4_1 5W0V_2 4Z7U_5 6SZ5_2 4S0R_2 6QRL_1 6AQR_1 6ZHG_1 
6KF3_8 2HOW_1 5VQG_1 3AOE_2 2L50_1 6NPW_3 4C1X_1 3QOW_1 3OIP_1 2B1L_1 
4XZ7_1 3PDX_1 3FHG_1 1UB7_1 3OCO_1 7CQF_1 4QVZ_1 5XGB_1 5XU1_2 6CBP_1 
2F1L_1 2A1T_3 1O0X_1 6B9J_1 3KVO_1 6A53_1 6EY5_1 2QY0_1 3EUK_2 1ZGH_1 
4WHN_1 6BIR_3 4D6K_1 2BV2_1 4KJI_1 3IJM_1 5JWC_1 4AIF_1 2C4X_1 4AP4_1 
7FEW_1 5ZVQ_1 6XRW_1 4LWY_2 6TBL_2 1L7J_1 3IT6_2 2GZ6_1 6Z7P_1 2JXM_2 
3MWM_1 2IVM_1 2P1L_2 6DG5_1 1V1A_1 2QGY_1 2C46_1 3H7V_1 6BL7_1 2VFR_1 
3AWR_1 3JX9_1 6DF4_1 3L6D_1 1D3I_4 7EQC_1 6T5A_2 6JLO_8 7Z16_1 5E46_1 
4TX1_1 4OLO_1 1OY0_1 1CEI_1 1DP5_2 6LXM_1 1RWC_1 6AK7_1 6SW4_1 1Z7P_1 
3FDU_1 4AJU_2 3RBM_1 1W99_1 2R0Y_2 6HS5_1 3N17_1 6Q2N_1 1NW1_1 6EJJ_1 
2ZSC_1 6BZD_2 6EJE_2 6H1E_1 3AZA_1 2PTT_2 5YRX_1 4D28_1 5WAQ_1 2YYS_1 
3C90_1 6M7A_2 3B1D_1 1T74_2 6IRE_2 3B4W_1 2OPT_1 1DEB_1 1VHD_1 7O2N_1 
4FBE_1 5YVQ_2 7CUX_1 4J1Q_1 5KCI_1 4IB2_1 2QXZ_1 1N11_1 4IU3_1 4U1E_2 
7BWY_1 2R8R_1 5FFP_1 5M88_1 4Q0P_1 2NWI_1 2GHS_1 3HP4_1 7M0E_1 2O1C_1 
2PA4_1 3TBO_1 1OD3_1 3KUI_2 6P8U_2 1QNX_1 3SIP_1 4NTQ_1 2VPB_2 3LYY_1 
2IPI_1 4EG2_1 7X4O_1 7ONO_1 5WEZ_1 4ZV9_1 7B26_1 4UJ3_3 3LMN_1 4J0M_1 
3PT7_2 2Z42_1 5WMM_2 1VIU_1 3OFG_1 5JCB_4 6OE9_1 6I8W_1 5JNO_1 3QMO_1 
3L0X_2 1VL3_1 3HNM_1 7AK9_2 6SUJ_1 1HR6_2 5U0S_1 1J2Z_1 4DK3_2 5V1A_1 
1SSH_1 1GY7_1 1L0Q_1 5JY4_1 6TEO_2 5WAS_3 2A15_1 2XVA_1 4AB7_1 2IFG_1 
3MCA_2 4IM4_1 4U8U_3 6V6A_1 2Z06_1 3KD4_1 6DLM_2 7E4D_1 4BQO_1 6AJD_1 
5HDA_1 6Y88_2 3U1C_1 4FCJ_1 1K3I_1 7ENM_1 6LKH_2 6V84_2 6JMU_1 5Y9W_2 
3R2W_1 2QJV_1 4BZA_1 1YWO_2 2W5E_1 7KIX_1 3H08_1 1B7G_1 5B19_1 4QQS_1 
6S7P_1 3NKX_2 2XM3_1 5LXQ_1 4Q0J_1 3PQY_3 7KQQ_1 1KMA_1 6BGP_1 4AC8_1 
1L4A_2 3BK3_2 6YB1_1 4KIW_1 3QN0_1 3ZZ0_1 3AWF_1 6P2K_1 7PLE_1 6FDZ_1 
5ERD_1 1C4O_1 3CG0_1 4S3Q_1 2BRQ_2 2NLC_1 4Y4S_1 5GZI_1 5T58_3 7EGK_1 
3X1L_4 6B2M_1 6W40_1 5CER_2 6HE6_1 6R1H_1 4OF0_1 3AL2_1 4J6F_1 4WKG_1 
3CG4_1 1SJE_3 3HTV_1 5AX3_2 3FN2_1 1T62_1 4O8X_2 4TXH_1 3QTH_1 7CFQ_2 
3K0L_1 3TVI_1 2VSZ_1 7EBY_1 1FO9_1 1N6D_1 4E61_1 7CCE_1 5ELI_1 6T7F_1 
3BJQ_1 3M0D_2 3DA7_1 4PNG_1 6GMZ_1 2HA8_1 6JEA_1 3ZTH_1 5D5H_1 1TJ7_1 
5Y3T_1 1YGS_1 4GQO_1 1I7N_1 3D3R_1 6B3X_1 5CK7_1 6JD6_2 2JXD_1 3NJW_1 
2PB9_1 7EVP_1 4FUT_1 3NME_1 2WGB_1 2EMS_2 6EKL_2 7TXM_1 3L8D_1 2YWM_1 
2Z2U_1 2XMO_1 5B3H_1 4UD1_1 4GOS_1 3BE5_1 6R8U_1 7NK0_1 6AMZ_1 7JTU_2 
3Q8D_1 3ADE_1 4KMR_1 5JEL_2 2C3Z_1 5H4S_1 6O73_1 1OX1_2 4DQ6_1 2I9D_1 
4K30_1 4ZUA_1 4D70_1 1TCZ_1 3KSV_1 5YXG_2 6GFF_3 1A63_1 4X82_1 7AUC_1 
7F2Y_1 4BRY_1 3C7J_1 5Z33_1 3H2U_1 2R15_1 3DBI_1 1TJU_1 1OXW_1 2NMM_1 
2FAQ_1 4CJ1_1 1VPD_1 3R4Q_1 2V8S_1 6K0W_1 5UJ7_2 1FGX_1 2O2G_1 1OLN_2 
5BY5_1 6GOS_4 6Y9L_1 6S08_2 4U0V_1 7KCJ_1 6ZBX_1 4BPJ_2 5L3K_1 2WHY_1 
3ZED_1 6IJK_1 3Q87_1 5L95_1 2X3K_1 4QBS_1 1D6T_1 6MU0_1 3M3G_1 3ZPP_1 
6F5Z_1 4MQM_1 6U2U_1 5OYJ_2 3GUF_1 3GDS_2 4WHZ_1 3LYG_1 3WYD_1 3M1F_2 
6JX6_1 3Q8J_1 2GIX_1 6I1Z_1 3LV0_1 2WL1_1 5NF2_1 4I6S_1 7C4G_1 6XI1_1 
6Q9M_1 6MW8_1 7PZY_80 4BJJ_2 4N0Q_1 1ZP2_1 7C42_1 3FGE_1 2BWA_1 4I5N_2 
2PA2_1 1WB4_1 6BNN_1 1A3R_3 4DQO_3 6MO1_1 3L3Z_2 1BRZ_1 6U7J_1 2Y7H_2 
5ICK_2 2IXQ_1 3T0Y_1 6A9S_1 1RGP_1 3QW4_1 3NRJ_1 5UJD_1 6PF2_1 7ARX_3 
1F6F_1 5EQX_1 6XZ6_1 4O8A_1 2DLL_1 6JHP_1 6TOD_1 5ZH8_1 2OCD_1 7OO1_1 
2FEX_1 1IQZ_1 7VC7_1 6K67_2 2I10_1 4PSX_3 3MV0_1 5VLP_4 6BZX_2 3VOQ_1 
4XES_1 2Y3W_1 1KFQ_1 2H1H_1 5J3R_1 4IKA_2 5UQZ_1 4JMF_2 2PQF_1 2YFR_1 
6UJ8_3 6ZE1_1 4AV8_1 1NBU_3 3J31_3 3NVM_1 4QNI_1 6THL_2 2VVL_2 6JLD_1 
6RHC_2 4V1D_5 7S8T_1 1EA9_1 5DOC_1 7FCR_1 2VC5_1 5GK0_1 2H6B_1 5IJB_2 
3QXZ_1 5YVM_1 5V64_1 6TJI_1 7Q02_1 6MF9_1 4QBU_1 2GJK_1 5OT1_1 5T8R_1 
4LL7_1 7AD6_2 3UE3_1 5I0V_1 3L4C_1 3BRT_1 3ZYP_1 3ON4_1 3H1Q_1 5OAU_1 
6W9S_1 6A4V_1 6G8T_1 1Z99_1 2GWO_1 1YG2_1 6XIG_1 6DFT_2 7A03_1 5VB9_1 
6TYX_2 4HPZ_1 1UMN_1 6Y44_2 7JN8_2 1H6C_1 3UL8_1 7R4L_1 3FOQ_1 3BU2_1 
5HAX_1 4XAH_1 6SMT_1 2DHI_1 6RPP_1 4N2M_1 6LTA_1 7QBS_2 2E3H_1 4PAG_1 
4RSJ_1 6JO0_1 5ZKQ_1 5DO8_1 2O5R_1 1ZJR_1 6VXY_2 3OAI_1 1WZA_1 3DD9_1 
4XUP_1 5EP0_1 3WXA_2 5V77_1 6C4M_1 2N9W_1 4R71_3 6DLH_1 6E1J_1 5LKW_1 
2OM5_1 3Q1I_2 1TSF_1 5EXX_1 6EMS_1 5UK3_1 2A26_1 3MBW_1 4IMR_1 7D4A_1 
4QIK_1 4NVT_1 1XV2_1 6CBI_2 2B7Y_1 6E5X_2 5UNC_1 6GYE_1 3I7F_1 3RLW_3 
6D7A_1 2VS0_1 7LO0_2 6XVM_1 6YR6_2 6NQI_1 3E0Z_1 3ZPJ_1 7DVG_1 3NCV_1 
4AID_2 6RO0_5 2GX9_1 7LWR_1 6EUO_1 4DU5_1 6TQP_1 4M69_2 5GTD_1 6II2_1 
4TLV_1 2YB8_1 7XK5_6 1AX8_1 5MLW_2 2PV7_1 5U0S_12 2OFY_1 3IT0_1 1ORJ_1 
6LK7_1 3IVV_2 2Q0O_1 2FL4_1 3UFG_1 6LFK_1 5BPW_1 3PQI_1 2HN2_1 2HFG_3 
3C6V_1 1OW1_1 7S4A_2 5T2V_1 5HSM_1 3RPB_1 3P6J_1 7CNC_2 5AKB_2 5HZ1_1 
7SUL_1 4EV2_1 3MVK_1 4LDR_1 2JIF_1 6INR_1 2J63_1 5NX5_1 5IG9_2 3A27_1 
6WRX_2 4HTS_1 6MIT_2 4FAJ_1 6LQH_1 6R3U_1 4QT8_1 2YNR_2 4GZV_1 4LPL_1 
5DZD_1 4WLK_1 3G8Q_1 3B1B_1 1EFR_4 1ZQ7_1 3OT1_2 2WKP_1 6S6F_1 1YC6_1 
5T57_1 6EC0_1 4EHS_1 6N2F_1 1KAW_1 2NR9_1 4QE9_1 4NOF_1 3MBU_1 3ZDL_2 
7NIT_1 3LYH_1 1SF8_1 3RWN_1 4TMB_1 2QZ6_1 2V70_1 6W3O_1 5H5R_2 3QR1_1 
6ZU9_36 6R16_2 4J9F_2 4AGS_1 4U39_2 1KQG_2 2AC1_1 3VFZ_1 5L9W_4 3DMW_1 
4Y4M_1 1S3F_1 3THK_2 3KPT_1 5YSW_1 3URZ_1 1IWM_1 5UN1_1 3ZHF_1 7FBW_1 
6OOM_1 5I4R_4 5HMB_1 3UPY_1 2GGS_1 1INP_1 4JZP_1 7BRE_3 1Y14_1 4NSQ_1 
5U84_1 6VIL_1 5LQ3_1 6A5K_1 6KJD_1 7O0E_1 4RN3_1 6LPS_1 2Z63_1 2V28_1 
6XC9_2 3H1N_1 2H09_1 2G3W_1 4N08_1 6VME_3 3TVJ_1 3WPQ_1 6PH3_1 5Y39_1 
4ZIL_1 3RC0_1 6Q75_1 6Y2N_1 6NKE_1 2OJU_1 7STY_1 2EVV_1 4R8T_2 5T3O_1 
2VPV_1 6TA8_1 2D3K_1 4F0B_1 7CQP_2 3ULR_3 4PKI_2 4P4V_1 3L72_9 5YLW_1 
7S6N_1 5XXF_3 4HPM_2 2P3J_1 6VO7_1 2OPG_1 6DXN_1 3TRI_1 6A3V_2 3H8A_2 
5LEW_1 7EEV_1 3SQN_1 1GRV_1 4ZZL_1 1Q14_1 7CA4_1 3PL0_1 1O70_1 4TKZ_1 
3MJD_1 4XO1_1 1QXP_1 3F0W_1 3B9J_3 2R8W_1 4P3E_3 3VX8_2 3H4L_1 6TIP_2 
4ZY7_1 4DXF_1 1ZHS_1 1YN3_1 3PAM_1 4BV4_2 1BFM_1 5LPF_1 4H13_6 2BEZ_1 
7JM2_1 4ARO_1 6NTE_1 5VJI_1 2PEB_1 3LHK_1 2XY1_1 6T5K_1 4TQ2_1 6J05_1 
1UCY_4 1ZPW_1 1DOF_1 5XK3_1 4OIZ_1 5KCG_1 7WBT_1 3ZRH_1 4P8S_1 3LFR_1 
7P18_1 4C16_1 4G79_1 1X82_1 1O12_1 4PU6_2 4HW5_1 7RFT_1 2QSY_1 4I3S_1 
1VAV_1 7SZE_1 1QWR_1 7FJS_1 1W93_1 3EDU_1 6NVY_2 4XKL_2 7CFD_1 7OD9_1 
4ETP_1 1OR6_1 4Y0X_1 3GUV_1 4EDP_1 7B6X_6 1W4T_1 5T70_4 5ZML_2 2QKQ_1 
5LFL_1 4ZEJ_1 7CW1_1 6E9O_1 5K8C_1 7E3S_1 2PEZ_1 4YU6_1 6VHT_1 1TZA_1 
7A0T_1 3FEF_1 3DJC_1 6KN9_1 4JNF_1 4EVU_1 6Y3V_2 1YLX_1 3JTX_1 6O38_2 
3CJH_1 3RG0_1 4BK4_1 6MLC_1 2FVH_1 1DAK_1 7K5D_1 1Z5Y_2 1UE8_1 5E0K_1 
5NGJ_1 7M0S_1 1KSG_1 5GG4_2 5CFD_4 6C1Z_1 4JCQ_1 2PGW_1 3B79_1 3A7Q_1 
2X9Z_1 3TCJ_1 2XVS_1 6YIE_2 5U7Z_1 4QIC_2 6FWV_1 5TEY_2 3RFB_1 4RK2_1 
1TAW_2 4OJV_1 6SJ8_1 1YP5_1 3TXA_1 6Z7O_1 3HH1_1 2H4P_2 7VSQ_1 3RNS_1 
3VA4_2 2AU1_1 6BP7_1 3DSY_2 5TUA_1 1Q0U_1 3H7Q_1 5TGE_1 6ZSP_1 5J9T_1 
4AU7_1 3WSO_1 4OUA_2 4QDS_1 2PC1_1 5UBU_1 5XDZ_2 6SXW_1 1RO8_1 2ML5_1 
6J8Y_1 1NKU_1 5XTS_1 1ASS_1 6SAV_2 3ZYW_1 5XBI_1 2IFT_1 2D68_1 2NOJ_2 
6BBD_1 5I4R_2 7RG5_2 4NN5_3 2Z5D_1 5YAP_1 2A1A_2 1WWQ_1 6FX5_1 2YNK_1 
1XHO_1 5CWJ_1 6GO3_1 2Z1K_1 2D2M_2 2B97_1 6ULS_2 2VKX_1 2CO5_1 2DUQ_1 
5BRA_1 6EFX_1 3UMB_1 4BXW_1 2FYS_2 4ZEO_1 4JFZ_3 5IWE_1 6IXL_1 4PC4_1 
4I6J_2 2WCI_1 3MSP_1 2ZB2_1 4KXB_1 5DAH_2 4A2Q_1 5YAL_1 4ZRA_1 1PDJ_1 
2F3L_1 2XD7_1 1ICF_2 3NPP_1 1Y1W_15 5MR1_1 6I3V_2 7F9N_1 7O2P_1 4CIN_2 
7K76_3 4CKQ_1 7QSU_1 4CMZ_1 1TNB_3 3BLW_1 2K9I_1 2PTV_1 5W6H_1 7R0W_4 
7O6B_1 7FB5_2 4AEF_1 7DZ2_1 4PGO_1 2X8X_1 4Q0Y_1 3VMM_1 3EFA_1 3NDC_1 
4J4J_1 5LUC_1 2F9H_1 6BZA_1 2DU9_1 2WT1_1 1IA6_1 5BV3_1 3JAN_48 1MZU_1 
6UID_1 5UAM_1 1G82_1 3BIL_1 5HL8_1 4ZDT_2 4LYK_1 5JP2_2 3KYD_2 2HNG_1 
3PKN_2 1U6H_2 4URF_1 5MZW_1 3M8D_1 4EAH_2 5N18_1 6QAJ_1 1U3N_1 2H11_1 
6DCD_1 5LA7_1 2PSQ_1 3SM8_1 2NP9_1 1JMU_2 2P25_1 3HDU_1 7S3N_1 4I1K_1 
4OVL_1 2BZ7_1 1YLQ_1 2AH6_1 6BK4_1 5GY3_1 1A1V_2 3N04_1 3EEZ_1 6DR8_1 
2P57_1 2YHA_1 3LHN_1 1W2R_1 1SV6_1 2N0M_1 1VHU_1 3QIW_5 4HS1_1 6W3F_1 
1DYP_1 6FKQ_2 2V6B_1 3EZ0_1 3KFV_1 2XA0_2 4IWG_1 1B3Q_1 2HMS_1 5FOI_1 
7LHR_1 7XK5_4 4P1Z_1 6TPL_1 7T85_1 5EE5_1 6E48_2 5DN2_2 3P0I_1 6VT4_1 
3NKC_1 3UFB_1 4CH8_3 2OZE_1 5Z2W_2 5W0K_2 3QVQ_1 5VPK_1 1UNN_2 2J6C_1 
4KPO_1 4Z8Z_1 7EET_1 5JD3_1 2VOY_6 3KE6_1 1UB0_1 2OH3_1 4U63_1 3FHO_1 
4POO_1 5FLJ_1 3K25_1 1PXY_1 1XRS_2 1MZD_1 6JIS_1 3F6U_2 1I2M_2 6DTR_1 
3G9W_2 6EWX_1 1FUA_1 3HP7_1 3BRC_1 5HK5_1 4F62_1 6Z1F_1 1YRU_1 2O98_2 
3V9P_1 6I4X_4 3DEP_1 4JXT_2 3CUC_1 3KBQ_1 2EIG_1 2OAS_1 4U6G_3 5OLW_1 
3FTJ_1 4E8D_1 5U92_1 5JIA_1 6ZPN_1 5XWX_1 5MX2_20 1KTW_1 1GWF_1 6Y2P_2 
2QIZ_1 6GZS_1 6WBC_2 5O61_11 2P38_1 1HCU_1 4D8M_1 5LZN_1 4WA0_1 5O1W_1 
1ZGX_1 5WX8_1 5LOM_1 6FCX_1 7SZX_1 2XRC_1 3I8C_2 1Y00_1 4APS_1 6J9L_2 
3KF6_1 2GR7_1 2YEV_1 4MC0_1 4M4N_1 6VX4_5 6GP5_1 6YVH_2 2MW2_2 6YA7_3 
1PXZ_1 4W8O_1 6XMV_1 5N7X_2 3G1I_1 2CG4_1 6I5S_1 2O6B_1 2JBR_1 5XBF_1 
6LOJ_2 4CFG_1 2MSE_3 5CZE_1 1VPQ_1 2VPY_3 6T46_1 4R40_2 3QYY_1 2QIP_1 
1TGG_1 7NZ7_2 1LTL_1 6HPF_1 4RKU_7 3T8K_1 2WAC_1 6GCV_1 6EC0_2 2EA1_1 
5T1L_4 6RX7_1 2H3K_1 3BXD_1 6F92_1 1ODG_1 6NJE_1 3H3H_1 3EQS_2 7B1F_1 
2WFB_1 5OH5_1 1TFK_2 5J7R_1 2IUJ_1 4X1T_1 5AZ1_1 3ZXJ_1 6BPH_1 3D54_2 
3ID1_1 2GK4_1 4N73_1 3R2J_1 6LGX_1 2P7I_1 3VKG_1 1XHN_1 5WU0_1 1GUX_2 
6S1L_1 1R5Q_1 3GN4_1 3P43_1 5LSL_2 3FN9_1 3OBE_1 4HLJ_1 4NQ8_1 4PWA_1 
3SS5_1 7T88_1 5ICX_3 3SKD_1 5U8K_1 4EW5_1 7EV1_1 4QOA_1 2XGG_1 6BMC_1 
1R5I_4 5Y7W_1 4ZXI_1 4XCQ_1 5WUT_1 2OO4_1 5FGR_1 4TU3_1 4G35_2 1OTG_1 
6BT1_1 6V3T_1 6KAC_20 7S0I_1 6YDR_1 1EUR_1 7RJA_5 2B8M_1 3OY7_1 7OG3_1 
2YV9_1 4Q5W_1 3FCX_1 1M27_1 3LFP_1 3VPJ_2 4W8V_1 4JUV_1 3SHQ_1 2QRJ_1 
3DAC_2 5M11_1 3ED5_1 6NUP_1 2OUH_1 5GY2_1 4ATE_1 6WPZ_1 4N03_1 4GKP_1 
1J7G_1 5KBP_1 5K8G_1 5BO7_1 5ZBM_1 1W80_3 7E9Y_1 4D4O_1 1P4U_2 4WZ3_2 
6IGX_2 4RIS_1 7M5F_1 4G1V_1 5LHM_1 2ICP_1 5X7F_1 4NQL_1 7KAD_2 5WH1_1 
6W0P_1 2ZM5_1 3AQV_1 5VE2_1 3LGO_1 6P6C_1 5NKM_1 3RPG_2 6QTB_2 2L0W_1 
6XWV_1 6T9F_1 2KTB_2 6KCO_1 5QIN_1 7PUK_1 4JVS_1 4ZDQ_1 5TDX_1 4BU1_2 
1BB9_1 5OL2_3 3LRU_1 3G1G_1 5XV9_1 3L91_1 1TBU_1 2M6K_1 6BK9_1 4N7X_1 
5T2S_2 5ZC4_1 4BA2_1 4LPZ_2 6F03_1 4BNQ_1 5K6L_1 2BF3_2 4G0I_1 4R8L_1 
1OU8_2 6TTL_1 3OJ6_1 4R4N_2 2YZK_1 2DKI_1 1AU8_1 2QNL_1 1NPD_1 7EOX_1 
6CF6_2 1UZ3_1 2JDD_1 2OWX_1 1KDD_2 7ESK_1 6IVH_1 6VO5_2 1R76_1 6T9D_3 
2W92_1 2ZU9_1 1UM9_2 6QVF_1 6QVT_1 3KNG_1 5DYR_1 6OZ1_1 1TWY_1 2VI6_1 
4WMB_2 4IG7_1 5XE3_2 2CCG_1 2Q4L_1 3AQL_1 1OU8_1 2WNS_1 1A38_2 5TQM_1 
2JFS_1 4G1E_2 4N3C_2 3WB9_1 3TAL_1 3ZRP_1 4A5U_1 5CUV_1 1JQL_2 6QZC_3 
3BKT_1 7K8A_1 4XNW_1 5DK5_1 2I79_1 4MKX_1 6ZCJ_2 3P7J_1 2YG9_1 2AVD_1 
1FRG_3 3L0Z_1 2BTQ_1 2OWY_1 4PCK_1 5J5T_1 4LL9_1 1AUR_1 6KSR_1 6ZG3_3 
1Q6H_1 2Q27_1 3MB2_2 1N5H_1 6ZZB_1 2WY7_2 7MXL_3 3VG8_1 5ESC_1 3BID_1 
5FB3_1 5UVG_1 7N41_1 5GOX_1 6EC8_1 6LQO_1 7DRE_2 4ANN_1 4INN_1 6KNT_1 
6ZSJ_2 5C1J_1 5IFS_1 1MK2_2 6ON9_1 2QV3_1 5BUY_1 6GNX_2 6Q56_1 1C4K_1 
4I7H_1 5JH9_1 6EPK_2 2WCB_1 6ML1_3 3EUK_1 4E45_3 4GOX_1 3FHM_1 5EJS_1 
2ZGD_1 2YC2_2 4FIX_1 3RSJ_1 1OM0_1 7LFD_1 6N3K_1 6A6W_1 4JHP_2 3M3P_1 
2W96_1 4QQ1_1 5CBA_3 5A40_1 1M4Y_1 6BG8_1 6HXV_1 7BQ9_1 5NHX_1 2EJ9_1 
3ECH_2 6O9P_1 5EIY_2 4DIK_1 7PLB_1 1SIG_1 5FCD_3 2XMF_1 4SRN_1 4HV0_1 
1PBH_1 1TKL_1 6XNU_1 3BQ7_1 6SF1_1 1T27_1 4JO8_1 3PLZ_1 3PG6_1 3ZIZ_1 
2G3K_1 1PCI_1 2WHX_2 4OYC_1 2AVP_1 1VJV_1 6R8Z_7 2FG0_1 3QJX_1 6R3P_1 
3GZC_1 3N2Q_1 7CUJ_1 3WZ2_1 3RTX_1 3TRS_2 5N85_2 2YVR_1 4OZW_1 4TX2_1 
4HPE_1 4GRF_1 7SA9_1 1AGX_1 3UIF_1 7F6L_2 3MLQ_2 1BWP_1 3BLZ_1 1JMQ_1 
4RHE_1 4GVQ_1 5T3B_1 2JKD_1 4LNL_1 5LGK_2 5A7D_1 7E4J_1 3DY0_2 6Q5U_1 
2K36_1 1IKQ_1 4EN2_1 2WA9_1 6P6E_2 1VBL_1 1SDD_1 5H3D_1 2CXX_1 6NNV_2 
1OBB_1 4WE6_1 2W44_1 3TBI_1 5OL8_1 2WWF_1 2ISM_1 4I5S_1 3QDR_2 2ZNJ_1 
1TIK_1 3K9A_1 1MB1_1 4YBN_1 4TNW_1 6LE5_1 7DUS_1 5TPM_1 3AKO_2 7QBK_1 
2Z0M_1 3V89_1 5NS9_1 4KCB_1 4U5Q_1 3ET6_2 5BWA_2 6XB6_1 6C5B_1 6A5F_1 
2V37_1 6ZFF_1 4CKC_1 3TC3_1 5TX5_1 4WN3_1 5H0Q_1 7CUJ_2 4WT3_1 6W7X_1 
1JAY_1 3KGZ_1 4R1D_1 6TOR_1 2B34_1 6RU8_2 5GWY_1 6JD8_1 3JVG_1 4V36_1 
1PW4_1 4EH1_1 2VD2_1 6WBB_2 3G14_1 5ZOP_2 4I3G_1 1WZX_1 4P1W_2 5U58_1 
2CO6_2 6UV8_1 5NES_2 4ME3_1 6J7A_1 4QL6_1 6X23_2 6L7V_1 2XGN_1 5I8F_1 
